| table_name                  | column_name                  | data_type                   | is_nullable | column_default                                                |
| cargo_packages              | added_by                     | text                        | NO          | 'Admin'::text                                                 |
| cargo_packages              | added_at                     | timestamp with time zone    | YES         | now()                                                         |
| cargo_packages              | status                       | text                        | NO          | 'pending'::text                                               |
| cargo_packages              | notes                        | text                        | YES         | ''::text                                                      |
| cargo_packages              | created_at                   | timestamp with time zone    | YES         | now()                                                         |
| cargo_packages              | updated_at                   | timestamp with time zone    | YES         | now()                                                         |
| cari_hesap_hareketleri      | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| cari_hesap_hareketleri      | cari_hesap_id                | uuid                        | NO          | null                                                          |
| cari_hesap_hareketleri      | hareket_tipi                 | text                        | NO          | null                                                          |
| cari_hesap_hareketleri      | tutar                        | numeric                     | NO          | null                                                          |
| cari_hesap_hareketleri      | onceki_bakiye                | numeric                     | NO          | null                                                          |
| cari_hesap_hareketleri      | sonraki_bakiye               | numeric                     | NO          | null                                                          |
| cari_hesap_hareketleri      | belge_no                     | text                        | YES         | null                                                          |
| cari_hesap_hareketleri      | belge_tipi                   | text                        | YES         | null                                                          |
| cari_hesap_hareketleri      | referans_id                  | uuid                        | YES         | null                                                          |
| cari_hesap_hareketleri      | aciklama                     | text                        | YES         | null                                                          |
| cari_hesap_hareketleri      | vade_tarihi                  | date                        | YES         | null                                                          |
| cari_hesap_hareketleri      | islem_tarihi                 | timestamp with time zone    | NO          | now()                                                         |
| cari_hesap_hareketleri      | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| cari_hesap_hareketleri      | guncelleme_tarihi            | timestamp with time zone    | YES         | now()                                                         |
| cari_hesap_hareketleri      | sira_no                      | integer                     | YES         | null                                                          |
| cari_hesaplar               | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| cari_hesaplar               | cari_kodu                    | text                        | NO          | null                                                          |
| cari_hesaplar               | cari_adi                     | text                        | NO          | null                                                          |
| cari_hesaplar               | cari_tipi                    | text                        | NO          | 'Musteri'::text                                               |
| cari_hesaplar               | vergi_no                     | text                        | YES         | null                                                          |
| cari_hesaplar               | tc_no                        | text                        | YES         | null                                                          |
| cari_hesaplar               | adres                        | text                        | YES         | null                                                          |
| cari_hesaplar               | il                           | text                        | YES         | null                                                          |
| cari_hesaplar               | ilce                         | text                        | YES         | null                                                          |
| cari_hesaplar               | posta_kodu                   | text                        | YES         | null                                                          |
| cari_hesaplar               | telefon                      | text                        | YES         | null                                                          |
| cari_hesaplar               | cep_telefon                  | text                        | YES         | null                                                          |
| cari_hesaplar               | eposta                       | text                        | YES         | null                                                          |
| cari_hesaplar               | web_sitesi                   | text                        | YES         | null                                                          |
| cari_hesaplar               | yetkili_kisi                 | text                        | YES         | null                                                          |
| cari_hesaplar               | borc_limiti                  | numeric                     | YES         | 0                                                             |
| cari_hesaplar               | bakiye                       | numeric                     | NO          | 0                                                             |
| cari_hesaplar               | kdv_muafiyeti                | boolean                     | NO          | false                                                         |
| cari_hesaplar               | aktif                        | boolean                     | NO          | true                                                          |
| cari_hesaplar               | notlar                       | text                        | YES         | null                                                          |
| cari_hesaplar               | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| cari_hesaplar               | guncelleme_tarihi            | timestamp with time zone    | NO          | now()                                                         |
| cari_hesaplar               | musteri_tipi_id              | uuid                        | YES         | null                                                          |
| cari_hesaplar               | bolge_id                     | uuid                        | YES         | null                                                          |
| cari_hesaplar               | konum                        | text                        | YES         | null                                                          |
| cari_hesaplar               | vergi_dairesi                | text                        | YES         | null                                                          |
| cari_hesaplar               | vergi_levhasi_url            | text                        | YES         | null                                                          |
| cari_notlar                 | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| cari_notlar                 | cari_hesap_id                | uuid                        | NO          | null                                                          |
| cari_notlar                 | icerik                       | text                        | NO          | null                                                          |
| cari_notlar                 | olusturan_id                 | uuid                        | YES         | null                                                          |
| cari_notlar                 | olusturan_adi                | text                        | YES         | null                                                          |
| cari_notlar                 | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| cek_senet_takip             | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| cek_senet_takip             | belge_tipi                   | text                        | NO          | null                                                          |
| cek_senet_takip             | belge_no                     | text                        | NO          | null                                                          |
| cek_senet_takip             | cari_hesap_id                | uuid                        | YES         | null                                                          |
| cek_senet_takip             | tutar                        | numeric                     | NO          | null                                                          |
| cek_senet_takip             | vade_tarihi                  | date                        | NO          | null                                                          |
| cek_senet_takip             | durum                        | text                        | NO          | 'beklemede'::text                                             |
| cek_senet_takip             | banka_adi                    | text                        | YES         | null                                                          |
| cek_senet_takip             | aciklama                     | text                        | YES         | null                                                          |
| cek_senet_takip             | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| cek_senet_takip             | guncelleme_tarihi            | timestamp with time zone    | NO          | now()                                                         |
| firma_ayarlari              | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| firma_ayarlari              | firma_adi                    | text                        | NO          | null                                                          |
| firma_ayarlari              | adres                        | text                        | YES         | null                                                          |
| firma_ayarlari              | telefon                      | text                        | YES         | null                                                          |
| firma_ayarlari              | eposta                       | text                        | YES         | null                                                          |
| firma_ayarlari              | vergi_no                     | text                        | YES         | null                                                          |
| firma_ayarlari              | vergi_dairesi                | text                        | YES         | null                                                          |
| firma_ayarlari              | web_sitesi                   | text                        | YES         | null                                                          |
| firma_ayarlari              | logo_url                     | text                        | YES         | null                                                          |
| firma_ayarlari              | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| firma_ayarlari              | guncelleme_tarihi            | timestamp with time zone    | NO          | now()                                                         |
| firma_ayarlari              | banka_adi                    | text                        | YES         | null                                                          |
| firma_ayarlari              | banka_sube                   | text                        | YES         | null                                                          |
| firma_ayarlari              | hesap_no                     | text                        | YES         | null                                                          |
| firma_ayarlari              | iban                         | text                        | YES         | null                                                          |
| firma_banka_hesaplari       | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| firma_banka_hesaplari       | banka_adi                    | text                        | NO          | null                                                          |
| firma_banka_hesaplari       | iban                         | text                        | NO          | null                                                          |
| firma_banka_hesaplari       | hesap_no                     | text                        | YES         | null                                                          |
| firma_banka_hesaplari       | sube                         | text                        | YES         | null                                                          |
| firma_banka_hesaplari       | tahsilat_makbuzunda_goster   | boolean                     | NO          | true                                                          |
| firma_banka_hesaplari       | sira_no                      | integer                     | NO          | 1                                                             |
| firma_banka_hesaplari       | aktif                        | boolean                     | NO          | true                                                          |
